Erstellungsdatum; Performance seit beginn; Durchschnittliche Performance pro Jahr; Maximaler Drawdown; Erstemission; Performancegebühr; ISIN; Investiertes Kapital
11.10.2014;134,80%;10,60%;-19,10%;31.01.2019;10%;DE000LS9NF86;1.049.572,98
13.10.2014;112,60%;9,30%;-19,50%;23.11.2014;15%;DE000LS9DPK6;1.719.419,65
16.10.2014;186,90%;13,20%;-27,30%;13.03.2015;15%;DE000LS9EMD6;192.374,75
23.10.2014;-6,20%;-0,80%;-53,20%;18.02.2015;15%;DE000LS9EJM3;21.110,45
26.10.2014;-44,50%;-6,80%;-87,60%;17.01.2015;15%;DE000LS9DWU1;49.143,52
30.10.2014;-59,80%;-10,20%;-74,60%;22.01.2015;5%;DE000LS9EAY7;13.863,56
24.11.2014;-31,20%;-4,30%;-71,80%;25.03.2015;10%;DE000LS9EPQ1;4.475,70
27.11.2014;325,30%;18,90%;-36,60%;18.05.2015;7%;DE000LS9FPG9;191.376,72
18.12.2014;131,30%;10,40%;-38,60%;20.12.2016;5%;DE000LS9KJX7;101.865,54
23.12.2014;30,00%;3,20%;-41,90%;27.06.2017;20%;DE000LS9LLQ5;79.677,52
30.12.2014;565,40%;25,90%;-43,60%;25.03.2015;11%;DE000LS9EQQ9;1.839.873,18
05.01.2015;157,50%;12,10%;-40,90%;25.03.2015;5%;DE000LS9EUF4;1.302.116,22
07.01.2015;390,50%;21,30%;-50,00%;09.04.2015;10%;DE000LS9EYP5;133.806,35
09.01.2015;123,40%;10,20%;-32,50%;26.02.2016;5%;DE000LS9HZS9;7.595,55
29.01.2015;190,10%;13,80%;-20,20%;13.10.2015;30%;DE000LS9GZY9;290.993,61
03.02.2015;19,80%;2,20%;-34,80%;03.05.2016;12%;DE000LS9JGG0;482.018,32
22.02.2015;71,40%;7,00%;-61,30%;22.06.2016;5%;DE000LS9JMF0;7.714,21
02.03.2015;36,90%;3,90%;-29,60%;21.09.2021;12%;DE000LS9SGM9;138.276,06
03.03.2015;50,40%;5,10%;-26,90%;27.07.2015;15%;DE000LS9GBW4;496.160,02
05.03.2015;30,50%;3,40%;-22,00%;06.05.2015;5%;DE000LS9FGV7;23.244,82
05.03.2015;14,50%;1,70%;-30,10%;27.07.2015;10%;DE000LS9GDF5;22.901,99
20.03.2015;117,20%;10,10%;-18,40%;03.06.2015;15%;DE000LS9FUG9;1.803.536,59
24.03.2015;19,30%;2,20%;-30,40%;26.11.2020;10%;DE000LS9QUL6;28.284,30
30.03.2015;90,70%;8,40%;-54,90%;03.06.2015;5%;DE000LS9FVS2;49.277,68
30.03.2015;69,60%;6,70%;-41,00%;03.06.2015;5%;DE000LS9FWZ5;24.065,51
30.03.2015;102,10%;9,10%;-43,50%;03.06.2015;5%;DE000LS9FVG7;58.832,27
31.03.2015;-13,20%;-1,70%;-73,80%;03.06.2015;5%;DE000LS9FTT4;34.618,65
12.04.2015;116,40%;10,00%;-38,60%;01.12.2016;9%;DE000LS9KE31;266.623,14
06.05.2015;73,70%;7,20%;-24,50%;06.07.2015;5%;DE000LS9GBF9;19.147,34
11.05.2015;29,30%;3,20%;-37,10%;03.12.2015;6%;DE000LS9HMS7;6.336,32
02.06.2015;66,20%;6,60%;-60,20%;27.07.2015;8%;DE000LS9GEH9;14.137,89
10.06.2015;120,80%;10,70%;-30,90%;17.10.2017;5%;DE000LS9ME05;16.126,47
14.06.2015;28,40%;3,20%;-28,80%;03.12.2015;15%;DE000LS9H1Y5;19.263,84
15.06.2015;58,90%;6,00%;-34,10%;25.08.2015;10%;DE000LS9GPR4;195.202,66
18.06.2015;118,30%;10,30%;-60,90%;13.10.2015;0%;DE000LS9GWL3;795.164,95
18.06.2015;434,80%;23,90%;-29,70%;18.08.2015;10%;DE000LS9GGD3;8.371.659,97
20.06.2015;78,90%;7,70%;-49,50%;25.08.2015;10%;DE000LS9GPX2;75.161,44
27.06.2015;53,50%;5,60%;-39,40%;18.08.2015;15%;DE000LS9GKS3;11.508,77
09.07.2015;17,50%;2,00%;-32,70%;13.10.2015;5%;DE000LS9GYS4;117.715,09
13.07.2015;68,30%;6,90%;-21,30%;22.06.2016;5%;DE000LS9JN17;34.447,55
30.07.2015;125,60%;11,10%;-31,90%;01.02.2017;5%;DE000LS9KRX0;27.734,19
05.08.2015;32,80%;3,70%;-25,90%;01.08.2017;0%;DE000LS9LXM9;10.625,22
04.09.2015;30,80%;3,60%;-16,70%;26.02.2016;0%;DE000LS9HXF1;54.422,35
08.09.2015;178,60%;14,50%;-24,30%;26.07.2017;15%;DE000LS9LV13;186.009,83
09.09.2015;84,20%;8,10%;-78,60%;25.11.2015;15%;DE000LS9HJF0;247.133,88
09.09.2015;151,20%;12,90%;-47,90%;22.01.2016;10%;DE000LS9HUE0;332.824,98
22.09.2015;20,20%;2,50%;-90,30%;22.02.2017;5%;DE000LS9KS27;36.472,81
15.10.2015;355,10%;22,40%;-52,90%;05.08.2016;10%;DE000LS9JU67;1.434.664,70
27.10.2015;150,40%;13,00%;-70,10%;28.08.2018;10%;DE000LS9M6Y7;342.566,11
09.11.2015;66,40%;7,00%;-29,00%;26.02.2016;10%;DE000LS9HZ23;60.931,58
09.11.2015;14,40%;1,80%;-61,60%;31.01.2018;10%;DE000LS9MSD6;24.031,76
23.11.2015;191,10%;15,60%;-35,50%;17.05.2017;5%;DE000LS9LG87;232.276,55
29.11.2015;96,70%;9,60%;-24,10%;02.04.2020;15%;DE000LS9PRT7;61.663,45
01.12.2015;30,10%;3,60%;-41,30%;07.06.2016;10%;DE000LS9JKH0;62.183,28
01.12.2015;49,70%;5,60%;-51,70%;26.02.2016;10%;DE000LS9HZC3;30.718,07
06.12.2015;27,50%;3,30%;-29,10%;01.09.2016;5%;DE000LS9JZ13;19.754,38
07.12.2015;-3,50%;-0,50%;-34,10%;24.03.2016;10%;DE000LS9H754;165.957,08
08.12.2015;140,90%;12,70%;-41,70%;22.06.2016;5%;DE000LS9JN74;147.574,82
10.12.2015;393,30%;24,30%;-47,60%;26.02.2016;10%;DE000LS9HXM7;12.288.284,32
01.01.2016;24,00%;2,80%;-40,90%;24.03.2016;8%;DE000LS9H7N5;23.561,80
02.01.2016;-13,40%;-2,10%;-71,80%;24.03.2016;10%;DE000LS9H6P2;40.261,37
04.01.2016;28,00%;3,40%;-29,90%;09.03.2016;5%;DE000LS9H3V7;25.832,44
04.01.2016;53,10%;6,00%;-37,40%;24.03.2016;7%;DE000LS9H648;26.940,25
08.01.2016;46,10%;5,20%;-51,20%;19.01.2018;5%;DE000LS9MR59;21.464,74
13.01.2016;125,00%;11,90%;-36,20%;07.06.2016;5%;DE000LS9JLH8;6.951.463,28
14.01.2016;463,60%;27,00%;-49,90%;07.06.2016;5%;DE000LS9JK44;2.322.372,64
15.01.2016;134,70%;12,50%;-40,40%;13.07.2016;5%;DE000LS9JQ14;1.563.524,99
19.01.2016;16,40%;2,10%;-51,70%;17.05.2017;10%;DE000LS9LHD1;17.003,46
23.01.2016;65,60%;7,30%;-63,30%;24.03.2016;5%;DE000LS9H606;133.347,88
26.01.2016;44,70%;5,30%;-30,50%;22.06.2016;10%;DE000LS9JN41;20.271,53
07.02.2016;188,30%;16,00%;-46,00%;03.05.2016;5%;DE000LS9JCS4;150.402,86
09.02.2016;109,20%;10,90%;-31,80%;03.05.2016;10%;DE000LS9JEV4;194.580,41
12.02.2016;200,30%;16,70%;-43,50%;05.08.2016;15%;DE000LS9JWK9;26.503,49
17.02.2016;35,30%;4,40%;-44,00%;17.05.2017;10%;DE000LS9LGB7;11.906,37
17.02.2016;28,90%;3,40%;-24,60%;05.08.2016;12%;DE000LS9JWV6;18.046,79
18.02.2016;262,10%;19,70%;-57,80%;29.03.2017;5%;DE000LS9K5A1;18.219,51
18.02.2016;43,50%;5,20%;-50,10%;10.04.2017;5%;DE000LS9LAR6;17.361,21
22.02.2016;35,90%;4,40%;-27,00%;01.09.2016;12%;DE000LS9J1J4;21.064,91
24.02.2016;-15,60%;-2,30%;-39,40%;03.05.2016;10%;DE000LS9JGB1;156.428,85
01.03.2016;6,50%;0,60%;-54,60%;07.06.2016;20%;DE000LS9JKR9;101.273,43
03.03.2016;77,80%;8,40%;-20,10%;07.06.2016;12%;DE000LS9JLP1;162.175,47
19.03.2016;220,00%;17,90%;-54,70%;10.10.2016;10%;DE000LS9J6L9;203.898,62
15.04.2016;6,90%;1,00%;-62,90%;07.06.2016;30%;DE000LS9JKE7;114.498,20
01.05.2016;53,80%;6,40%;-60,10%;01.12.2016;0%;DE000LS9KC74;6.920,57
