Erstellungsdatum; Performance seit beginn; Durchschnittliche Performance pro Jahr; Maximaler Drawdown; Erstemission; Performancegebühr; ISIN; Investiertes Kapital
20.04.2019;11,10%;2,70%;-47,60%;08.07.2019;5%;DE000LS9NUC2;31.329,88
02.05.2019;7,80%;2,00%;-33,20%;08.07.2019;5%;DE000LS9NTT8;78.969,45
29.05.2019;-2,00%;-0,40%;-56,40%;20.09.2019;10%;DE000LS9PAG0;43.685,77
11.06.2019;4,80%;0,70%;-45,10%;20.09.2019;20%;DE000LS9NZN8;5.771,45
16.06.2019;80,40%;16,90%;-42,30%;20.08.2020;20%;DE000LS9QGD2;209.250,18
24.06.2019;124,10%;24,70%;-83,10%;17.12.2020;15%;DE000LS9QWV1;28.931,34
27.06.2019;22,00%;5,30%;-57,80%;27.07.2021;5%;DE000LS9SAX9;16.723,40
17.07.2019;-5,60%;-1,50%;-73,20%;02.04.2020;6%;DE000LS9PQJ0;533.513,29
19.07.2019;20,10%;5,10%;-32,80%;20.09.2019;10%;DE000LS9PAM8;204.696,05
20.07.2019;50,30%;11,80%;-52,10%;02.04.2020;10%;DE000LS9PSF4;89.453,53
24.07.2019;-2,00%;-0,80%;-56,70%;02.04.2020;5%;DE000LS9PTV9;492.674,86
28.07.2019;29,20%;7,10%;-42,20%;02.04.2020;10%;DE000LS9PTR7;30.500,96
01.08.2019;27,10%;6,70%;-19,90%;05.12.2019;10%;DE000LS9PJL1;12.715,73
04.08.2019;-13,30%;-3,80%;-31,80%;05.12.2019;0%;DE000LS9PFU0;65.091,40
06.08.2019;-21,70%;-6,90%;-76,70%;06.08.2020;9%;DE000LS9QCW1;114.433,37
06.08.2019;19,00%;4,60%;-38,00%;08.09.2020;5%;DE000LS9QKL7;37.956,65
14.08.2019;270,60%;43,00%;-45,10%;07.05.2020;10%;DE000LS9PVY9;72.100,97
19.08.2019;12,10%;3,10%;-14,70%;27.01.2020;5%;DE000LS9PLR4;57.758,17
19.08.2019;42,10%;10,30%;-22,00%;26.02.2020;10%;DE000LS9PPR5;11.255,74
20.08.2019;10,30%;2,70%;-46,40%;27.01.2020;7%;DE000LS9PLB8;5.517,41
22.08.2019;-4,10%;-1,10%;-34,90%;12.11.2019;10%;DE000LS9PDQ3;7.100,96
01.09.2019;-30,10%;-9,50%;-50,70%;01.06.2021;10%;DE000LS9RRC9;25.465,10
01.09.2019;28,20%;7,00%;-34,90%;06.07.2020;5%;DE000LS9QAV7;51.782,57
09.09.2019;35,10%;8,80%;-17,50%;06.10.2020;10%;DE000LS9QMH1;73.378,82
10.09.2019;72,20%;16,30%;-34,10%;21.03.2023;10%;DE000LS9UEC1;31.031,08
13.09.2019;16,20%;4,30%;-40,60%;27.01.2020;10%;DE000LS9PKV8;50.480,31
27.09.2019;-0,60%;-0,20%;-33,50%;05.12.2019;10%;DE000LS9PGR4;43.122,26
20.10.2019;7,80%;2,10%;-19,00%;06.08.2020;15%;DE000LS9QCP5;11.757,16
22.10.2019;294,50%;49,30%;-48,50%;02.04.2020;5%;DE000LS9PUL8;539.245,94
22.10.2019;26,20%;6,90%;-31,40%;02.04.2020;5%;DE000LS9PSB3;11.079,36
22.10.2019;144,90%;29,30%;-73,40%;07.05.2020;5%;DE000LS9PUY1;51.059,27
25.10.2019;-65,30%;-26,40%;-72,20%;26.02.2020;0%;DE000LS9PMM3;5.907,63
30.10.2019;-58,40%;-23,30%;-93,40%;08.09.2020;0%;DE000LS9QHS8;11.500,34
14.11.2019;43,30%;11,00%;-31,50%;20.08.2020;5%;DE000LS9QEG0;82.361,41
12.12.2019;-18,90%;-6,00%;-63,40%;26.02.2020;10%;DE000LS9PNP4;86.493,02
21.12.2019;108,00%;24,90%;-49,00%;06.10.2020;5%;DE000LS9QPH4;435.091,60
21.12.2019;39,30%;11,00%;-41,60%;27.07.2021;0%;DE000LS9RXW5;11.140,29
30.12.2019;50,10%;13,60%;-29,40%;06.07.2020;15%;DE000LS9QAS3;5.417,39
10.01.2020;19,20%;5,60%;-35,40%;02.04.2020;20%;DE000LS9PSJ6;470.384,88
29.01.2020;-6,60%;-2,20%;-58,20%;07.05.2020;8%;DE000LS9PVP7;11.032,24
30.01.2020;32,40%;9,50%;-55,70%;26.11.2020;20%;DE000LS9QUX1;4.099.935,78
02.02.2020;20,10%;5,90%;-34,10%;08.09.2020;15%;DE000LS9QHR0;16.711,48
03.02.2020;-21,60%;-7,40%;-31,90%;06.07.2020;10%;DE000LS9QAF0;310.034,63
19.02.2020;-1,40%;-0,50%;-42,90%;06.08.2020;0%;DE000LS9QDU3;7.397,08
26.02.2020;66,60%;18,00%;-34,50%;06.07.2020;5%;DE000LS9QBF8;1.529.921,11
09.03.2020;407,50%;69,50%;-41,60%;06.10.2020;5%;DE000LS9QMB4;4.127.949,93
10.03.2020;235,70%;48,10%;-40,90%;01.06.2021;12%;DE000LS9RSZ8;760.069,92
16.03.2020;287,50%;55,80%;-41,90%;06.07.2020;5%;DE000LS9PYL0;1.028.636,03
17.03.2020;21,50%;7,00%;-30,80%;06.10.2020;0%;DE000LS9QND8;22.235,70
20.03.2020;164,70%;38,10%;-55,00%;06.07.2020;18%;DE000LS9QBU7;270.069,28
26.03.2020;54,20%;15,40%;-47,80%;14.06.2022;19%;DE000LS9TJL3;21.437,84
28.03.2020;25,90%;7,70%;-40,40%;15.10.2020;17%;DE000LS9QQE9;9.184,87
30.03.2020;462,40%;76,20%;-37,50%;30.08.2022;20%;DE000LS9TRD3;2.561.848,70
31.03.2020;74,70%;20,70%;-27,20%;06.10.2020;17%;DE000LS9QPG6;45.404,32
31.03.2020;6,70%;2,20%;-6,20%;26.11.2020;5%;DE000LS9QTL8;18.995,61
01.04.2020;55,40%;15,40%;-32,90%;01.06.2021;7%;DE000LS9RTT9;212.016,27
06.04.2020;33,50%;9,80%;-30,40%;08.09.2020;17%;DE000LS9QKN3;7.874,54
09.04.2020;47,70%;14,00%;-46,20%;06.07.2020;8%;DE000LS9PZG7;106.584,98
09.04.2020;156,80%;37,20%;-36,40%;20.08.2020;15%;DE000LS9QFC6;87.095,66
10.04.2020;-1,00%;-0,40%;-46,00%;21.01.2021;10%;DE000LS9RAS1;43.621,61
13.04.2020;103,90%;27,30%;-52,10%;27.07.2021;10%;DE000LS9RXF0;45.465,38
17.04.2020;38,50%;11,80%;-46,30%;22.02.2022;18%;DE000LS9SZV0;15.221,09
18.04.2020;11,40%;3,50%;-37,30%;08.09.2020;0%;DE000LS9QJT2;31.975,84
21.04.2020;9,30%;3,00%;-35,80%;29.04.2021;0%;DE000LS9RLF5;49.602,14
22.04.2020;4,90%;1,60%;-26,20%;09.03.2021;11%;DE000LS9RES3;77.289,75
24.04.2020;10,70%;3,60%;-12,50%;22.02.2022;5%;DE000LS9TBJ4;5.207,53
28.04.2020;-5,30%;-1,90%;-44,60%;08.09.2020;0%;DE000LS9QGY8;6.251,18
28.04.2020;-1,90%;-0,80%;-53,10%;06.08.2020;5%;DE000LS9QDD9;43.669,19
04.05.2020;23,50%;7,40%;-28,00%;06.10.2020;10%;DE000LS9QNR8;22.846,82
06.05.2020;54,50%;15,80%;-41,20%;06.10.2020;10%;DE000LS9QPB7;10.516,55
13.05.2020;31,80%;9,90%;-27,20%;25.01.2022;10%;DE000LS9SYV3;9.752,38
18.05.2020;0,60%;0,10%;-44,30%;08.09.2020;0%;DE000LS9QHJ7;14.891,06
18.05.2020;-13,00%;-4,70%;-46,70%;06.10.2020;0%;DE000LS9QNC0;5.917,47
18.05.2020;-3,80%;-1,40%;-39,80%;03.11.2020;10%;DE000LS9QQW1;98.678,06
24.05.2020;59,30%;19,10%;-52,50%;29.04.2021;10%;DE000LS9RKZ5;176.037,04
25.05.2020;13,40%;4,50%;-16,90%;08.09.2020;8%;DE000LS9QJY2;203.611,45
27.05.2020;11,10%;3,70%;-32,40%;08.09.2020;5%;DE000LS9QKW4;160.016,67
02.06.2020;5,20%;1,70%;-15,60%;28.10.2021;5%;DE000LS9SLJ5;7.048,40
12.06.2020;32,60%;10,50%;-33,60%;12.07.2022;10%;DE000LS9TLP0;28.366,22
15.06.2020;8,10%;3,00%;-48,40%;28.10.2021;5%;DE000LS9SMX4;5.952,14
16.06.2020;-28,00%;-11,10%;-34,00%;06.10.2020;10%;DE000LS9QLF7;118.201,29
24.06.2020;15,40%;5,20%;-37,00%;21.01.2021;10%;DE000LS9RAF8;184.342,76
08.07.2020;25,70%;8,70%;-19,20%;03.05.2022;10%;DE000LS9TFJ5;11.315,43
29.07.2020;-23,00%;-9,40%;-86,80%;29.04.2021;20%;DE000LS9RLR0;9.591,77
31.07.2020;140,40%;38,40%;-17,80%;27.07.2021;10%;DE000LS9SAP5;135.739,38
04.08.2020;-16,70%;-6,60%;-48,40%;29.04.2021;0%;DE000LS9RPW1;243.674,37
08.08.2020;-43,30%;-19,50%;-68,10%;26.11.2020;20%;DE000LS9QUU7;60.156,80
09.08.2020;12,70%;4,60%;-9,50%;29.04.2021;18%;DE000LS9RLU4;212.959,29
13.08.2020;23,30%;8,10%;-12,70%;24.08.2021;5%;DE000LS9SEB7;159.472,62
14.08.2020;50,90%;16,60%;-62,50%;17.12.2020;8%;DE000LS9QVG4;506.280,07
21.08.2020;-24,10%;-10,70%;-50,10%;07.04.2021;20%;DE000LS9RHN7;11.441,55
28.08.2020;26,80%;9,20%;-18,30%;28.10.2021;10%;DE000LS9SNU8;10.141,70
03.09.2020;-35,90%;-15,70%;-64,80%;17.12.2020;15%;DE000LS9QWR9;75.097,15
03.09.2020;41,10%;14,00%;-15,80%;09.02.2021;10%;DE000LS9RCJ6;36.522,20
08.09.2020;32,90%;11,80%;-15,50%;07.04.2021;6%;DE000LS9RJB8;23.224,67
10.09.2020;99,20%;30,70%;-3,70%;30.08.2022;30%;DE000LS9TTB3;96.024,23
17.09.2020;88,80%;28,60%;-39,80%;13.12.2022;10%;DE000LS9TYW9;4.721,42
23.09.2020;-4,90%;-2,00%;-34,00%;09.03.2021;6%;DE000LS9RFR2;35.271,14
28.09.2020;7,20%;2,10%;-40,60%;26.11.2020;10%;DE000LS9QST3;179.750,40
29.09.2020;10,50%;3,80%;-20,40%;26.11.2020;10%;DE000LS9QSW7;47.380,61
01.10.2020;-12,00%;-5,00%;-30,10%;09.03.2021;20%;DE000LS9RFJ9;503.522,76
03.10.2020;14,70%;5,80%;-31,60%;29.04.2021;15%;DE000LS9RLZ3;62.749,62
05.10.2020;26,30%;9,80%;-22,30%;28.10.2021;10%;DE000LS9SLR8;11.575,77
12.10.2020;60,50%;20,80%;-23,30%;21.09.2021;5%;DE000LS9SHP0;826.806,74
17.10.2020;8,90%;3,70%;-30,70%;29.04.2021;0%;DE000LS9RNN5;9.485,78
26.10.2020;4,00%;1,50%;-22,50%;09.03.2021;10%;DE000LS9RFL5;98.810,98
03.11.2020;1,00%;0,30%;-48,20%;18.10.2021;8%;DE000LS9SJW2;14.305,08
11.11.2020;-4,00%;-1,80%;-71,00%;01.06.2021;9%;DE000LS9RQZ2;340.519,93
18.11.2020;16,30%;6,20%;-14,60%;29.04.2021;10%;DE000LS9RLS8;371.528,51
26.11.2020;28,90%;10,70%;-26,00%;24.08.2021;5%;DE000LS9SDN4;182.947,99
28.11.2020;79,60%;27,50%;-49,00%;01.06.2021;9%;DE000LS9RST1;51.503,15
29.11.2020;-4,10%;-1,60%;-30,50%;24.06.2021;10%;DE000LS9RWB1;8.633,89
06.12.2020;20,00%;7,90%;-17,10%;24.06.2021;5%;DE000LS9RUR1;6.360,30
12.12.2020;-15,20%;-6,90%;-26,50%;09.03.2021;15%;DE000LS9RFM3;7.295,87
16.12.2020;-2,90%;-2,00%;-33,20%;01.06.2021;10%;DE000LS9RRU1;52.710,16
17.12.2020;-0,10%;0,20%;-36,60%;24.06.2021;10%;DE000LS9RWH8;149.180,64
17.12.2020;30,60%;12,20%;-16,00%;01.06.2021;10%;DE000LS9RSU9;36.569,50
21.12.2020;54,20%;21,00%;-36,30%;01.06.2021;5%;DE000LS9RQY5;198.614,61
22.12.2020;84,40%;30,70%;-43,70%;03.05.2022;10%;DE000LS9TDR3;5.535,30
22.12.2020;-5,30%;-1,90%;-45,90%;24.06.2021;18%;DE000LS9RVC1;17.063,92
24.12.2020;-19,30%;-9,20%;-34,90%;01.06.2021;0%;DE000LS9RTM4;8.551,98
25.12.2020;-15,70%;-7,20%;-29,80%;14.12.2021;18%;DE000LS9SUM0;5.901,31
29.12.2020;-20,40%;-9,50%;-43,70%;28.10.2021;20%;DE000LS9SNS2;39.801,83
30.12.2020;6,60%;2,80%;-19,60%;09.03.2021;5%;DE000LS9REN4;32.734,22
02.01.2021;-15,80%;-7,30%;-27,00%;28.10.2021;10%;DE000LS9SLZ1;71.748,88
04.01.2021;-20,90%;-10,10%;-53,70%;28.10.2021;18%;DE000LS9SKF5;5.615,72
04.01.2021;3,00%;1,30%;-32,50%;24.06.2021;10%;DE000LS9RUA7;10.720,54
04.01.2021;-4,80%;-2,60%;-28,10%;22.02.2022;5%;DE000LS9TBF2;6.097,74
06.01.2021;26,00%;11,40%;-23,50%;25.11.2021;5%;DE000LS9SPY5;52.156,08
06.01.2021;-21,50%;-10,30%;-29,20%;01.06.2021;0%;DE000LS9RTE1;12.639,68
07.01.2021;14,90%;6,50%;-18,10%;24.06.2021;20%;DE000LS9RWS5;32.462,65
14.01.2021;20,80%;8,70%;-28,90%;24.08.2021;19%;DE000LS9SCD7;220.608,60
17.01.2021;2,20%;1,10%;-30,00%;27.07.2021;7%;DE000LS9SAM2;33.431,54
22.01.2021;-37,00%;-19,00%;-76,00%;21.09.2021;12%;DE000LS9SHK1;14.194,76
23.01.2021;19,80%;8,60%;-8,80%;12.07.2022;10%;DE000LS9TMS2;37.513,96
31.01.2021;3,30%;1,40%;-16,20%;28.10.2021;5%;DE000LS9SLD8;16.941,63
04.02.2021;-34,00%;-17,80%;-37,80%;24.06.2021;12%;DE000LS9RWF2;210.302,53
06.02.2021;-7,00%;-3,30%;-8,40%;14.12.2021;0%;DE000LS9SUF4;94.372,01
06.02.2021;-10,10%;-4,90%;-24,50%;04.10.2022;10%;DE000LS9TVJ2;61.220,67
11.02.2021;0,80%;0,60%;-5,50%;17.05.2022;5%;DE000LS9TGH7;11.592,12
14.02.2021;138,00%;50,30%;-22,00%;12.07.2022;5%;DE000LS9TQA1;140.528,82
16.02.2021;-8,90%;-3,40%;-39,60%;21.09.2021;15%;DE000LS9SHT2;108.413,21
18.02.2021;-84,50%;-60,20%;-96,70%;28.10.2021;10%;DE000LS9SKZ3;5.165,03
20.02.2021;13,90%;6,60%;-42,10%;28.10.2021;12%;DE000LS9SMB0;7.175,57
22.02.2021;-3,40%;-1,90%;-25,30%;03.05.2022;6%;DE000LS9TEK6;85.687,91
28.02.2021;-51,80%;-29,80%;-66,80%;27.07.2021;10%;DE000LS9RZG3;41.079,59
01.03.2021;5,40%;2,40%;-20,40%;24.01.2023;10%;DE000LS9UBX3;9.599,08
04.03.2021;-6,40%;-3,50%;-44,70%;22.02.2022;10%;DE000LS9SZK3;14.692,64
14.03.2021;-11,90%;-6,00%;-43,40%;14.06.2022;6%;DE000LS9THH5;83.802,22
17.03.2021;1,10%;0,40%;-18,40%;21.09.2021;5%;DE000LS9SJD2;11.828,49
12.04.2021;11,00%;4,40%;-30,30%;14.12.2021;10%;DE000LS9SUS7;46.433,89
15.04.2021;6,60%;2,70%;-21,50%;28.10.2021;10%;DE000LS9SLY4;9.056,89
07.05.2021;47,70%;22,60%;-19,10%;30.08.2022;8%;DE000LS9TTS7;22.478,26
16.05.2021;2,80%;1,40%;-21,30%;14.12.2021;5%;DE000LS9SUT5;9.136,19
21.05.2021;6,20%;3,30%;-9,00%;30.08.2022;5%;DE000LS9TRB7;10.403,45
01.06.2021;4,70%;2,60%;-7,80%;03.05.2022;9%;DE000LS9TFH9;18.743,95
01.06.2021;16,40%;8,40%;-31,50%;03.05.2022;8%;DE000LS9TCP9;6.168,30
09.06.2021;-3,70%;-2,20%;-23,70%;24.01.2023;12%;DE000LS9UBL8;5.299,77
15.06.2021;-24,60%;-14,50%;-38,10%;14.12.2021;19%;DE000LS9STQ3;31.672,31
01.07.2021;-4,50%;-2,50%;-27,50%;25.01.2022;7%;DE000LS9SXC5;19.976,77
20.07.2021;-29,90%;-18,90%;-40,40%;14.12.2021;10%;DE000LS9SWC7;7.360,07
26.07.2021;-30,10%;-19,10%;-36,80%;17.05.2022;0%;DE000LS9TGF1;25.439,21
12.08.2021;-20,10%;-12,90%;-32,90%;14.12.2021;10%;DE000LS9SVZ0;8.384,40
15.08.2021;-8,10%;-5,10%;-19,80%;12.07.2022;5%;DE000LS9TPE5;29.500,07
24.08.2021;14,90%;6,30%;-26,60%;12.07.2022;10%;DE000LS9TMK9;52.698,97
30.08.2021;-61,00%;-44,40%;-77,20%;22.02.2022;15%;DE000LS9SZH9;6.259,63
01.09.2021;-19,30%;-12,90%;-39,60%;03.05.2022;5%;DE000LS9TDX1;54.238,93
12.09.2021;54,40%;32,10%;-12,60%;12.07.2022;10%;DE000LS9TMU8;327.152,41
05.10.2021;-15,40%;-10,70%;-34,60%;25.01.2022;5%;DE000LS9SXY9;21.076,55
07.10.2021;-1,80%;-1,40%;-17,60%;14.06.2022;5%;DE000LS9TJH1;11.299,08
04.11.2021;-26,60%;-19,60%;-33,00%;14.12.2021;10%;DE000LS9SWS3;66.408,54
05.11.2021;64,40%;50,70%;-84,60%;12.07.2022;5%;DE000LS9TMA0;176.072,32
24.11.2021;-9,90%;-7,50%;-16,80%;03.05.2022;20%;DE000LS9TEP5;153.186,41
16.12.2021;3,30%;2,00%;-11,10%;04.10.2022;5%;DE000LS9TVS3;15.489,31
19.12.2021;-11,00%;-8,70%;-11,80%;30.08.2022;20%;DE000LS9TTU3;12.279,71
03.01.2022;-78,00%;-70,30%;-84,20%;14.06.2022;5%;DE000LS9TJJ7;11.625,46
09.01.2022;-5,80%;-5,20%;-22,60%;14.06.2022;10%;DE000LS9THG7;12.996,92
21.01.2022;15,30%;12,60%;-21,40%;14.06.2022;10%;DE000LS9TJA6;21.445,32
23.01.2022;-8,90%;-7,50%;-12,40%;12.07.2022;15%;DE000LS9TMG7;6.924,63
24.01.2022;60,80%;47,30%;-33,30%;12.07.2022;15%;DE000LS9TKP2;17.702,96
24.01.2022;-16,10%;-13,30%;-26,80%;17.05.2022;7%;DE000LS9TGN5;9.229,72
09.02.2022;-13,10%;-11,70%;-32,40%;14.06.2022;0%;DE000LS9THM5;15.635,36
15.02.2022;-2,20%;-2,60%;-37,50%;12.07.2022;15%;DE000LS9TNF7;34.256,58
23.02.2022;-72,60%;-69,00%;-83,40%;15.12.2022;10%;DE000LS9UAS5;8.479,11
24.02.2022;0,90%;1,00%;-14,50%;24.01.2023;9%;DE000LS9UBP9;10.101,82
04.03.2022;4,10%;3,60%;-18,80%;12.07.2022;6%;DE000LS9TND2;14.986,13
14.03.2022;-31,70%;-29,60%;-43,90%;12.07.2022;12%;DE000LS9TNK7;20.543,59
14.03.2022;-54,60%;-53,90%;-60,50%;30.08.2022;5%;DE000LS9TQU9;5.330,22
28.03.2022;6,80%;6,10%;-21,10%;30.08.2022;5%;DE000LS9TSH2;27.756,55
16.04.2022;2,10%;-;-15,00%;21.03.2023;5%;DE000LS9UCX1;7.352,70
21.04.2022;-4,20%;-;-10,80%;12.07.2022;5%;DE000LS9TKN7;14.087,52
25.04.2022;0,00%;-;-12,80%;12.07.2022;5%;DE000LS9TPP1;30.023,41
25.04.2022;16,90%;-;-18,70%;12.07.2022;30%;DE000LS9TNE0;24.202,62
03.05.2022;-1,60%;-;-9,70%;30.08.2022;10%;DE000LS9TTD9;35.441,44
06.05.2022;-16,40%;-;-26,30%;14.06.2022;19%;DE000LS9THL7;51.819,92
09.05.2022;11,00%;-;-65,50%;04.10.2022;18%;DE000LS9TWF8;11.158,44
02.06.2022;23,00%;-;-17,40%;21.03.2023;20%;DE000LS9UDE9;64.837,95
22.06.2022;80,90%;-;-55,80%;21.03.2023;30%;DE000LS9UEJ6;24.944,69
23.06.2022;273,90%;-;-19,90%;04.10.2022;20%;DE000LS9TVM6;190.733,69
02.07.2022;8,40%;-;-15,80%;04.10.2022;10%;DE000LS9TVN4;15.067,57
09.07.2022;-4,60%;-;-15,50%;04.10.2022;5%;DE000LS9TWE1;33.785,39
15.07.2022;12,60%;-;-31,80%;04.10.2022;13%;DE000LS9TWJ0;28.165,74
26.07.2022;-14,60%;-;-26,60%;13.12.2022;10%;DE000LS9TYX7;8.542,69
27.07.2022;12,70%;-;-10,90%;15.11.2022;15%;DE000LS9TXB5;481.250,36
29.07.2022;20,00%;-;-19,80%;13.12.2022;5%;DE000LS9TYR9;167.058,99
12.09.2022;-2,40%;-;-57,60%;24.01.2023;20%;DE000LS9UBN4;153.184,10
17.09.2022;24,90%;-;-15,80%;21.03.2023;10%;DE000LS9UEF4;21.395,71
22.09.2022;-11,60%;-;-16,40%;15.11.2022;5%;DE000LS9TXE9;10.169,79
25.09.2022;-0,90%;-;-13,50%;15.11.2022;5%;DE000LS9TXM2;6.838,62
27.09.2022;50,60%;-;-31,00%;21.03.2023;10%;DE000LS9UCC5;10.670,60
28.09.2022;-3,30%;-;-4,50%;15.11.2022;5%;DE000LS9TXG4;11.413,89
11.10.2022;0,50%;-;-3,40%;24.01.2023;10%;DE000LS9UB16;16.088,52
13.10.2022;-2,40%;-;-4,40%;21.03.2023;19%;DE000LS9UC64;34.205,70
16.10.2022;-37,00%;-;-37,50%;13.12.2022;0%;DE000LS9TZU0;29.993,65
18.10.2022;-15,10%;-;-20,40%;13.12.2022;30%;DE000LS9TZH7;52.069,01
23.10.2022;9,40%;-;-8,30%;24.01.2023;5%;DE000LS9UBC7;5.469,61
26.10.2022;-3,50%;-;-9,80%;13.12.2022;15%;DE000LS9TYN8;6.276,04
06.01.2023;-11,70%;-;-38,50%;21.03.2023;30%;DE000LS9UC49;11.210,68
09.01.2023;1,40%;-;-20,40%;21.03.2023;10%;DE000LS9UC56;12.876,03
